depth,temp,NIT_amm,NIT_nit,OXY_oxy_old,PHS_frp,,,
0.1,1.348168845,1.268653202,0.077354126,45.19626736,0.059719767,2.537306404,0.154708252,0.119439533
0.33,1.429111673,1.250186684,0.077791638,45.19626736,0.05732785,2.500373367,0.155583276,0.1146557
0.67,1.548766289,1.222888352,0.078438395,45.19626736,0.053791974,2.445776704,0.15687679,0.107583948
1,1.664901651,1.196392913,0.07906613,45.19626736,0.050360094,2.392785826,0.158132259,0.100720188
1.33,2.828405055,1.169897474,0.079693864,45.19626736,0.046928214,2.339794947,0.159387729,0.093856427
1.67,4.027166139,1.142599142,0.080340621,45.19626736,0.043392337,2.285198284,0.160681242,0.086784675
2,4.031694648,1.309398648,0.083637325,45.10802289,0.045629908,2.618797296,0.16727465,0.091259817
2.33,3.807790003,1.476198153,0.086934029,45.01977841,0.04786748,2.952396307,0.173868058,0.095734959
2.67,3.577100368,1.64805219,0.090330633,44.92885987,0.050172856,3.296104379,0.180661267,0.100345712
3,3.353195723,1.814851695,0.093627337,44.84061539,0.052410427,3.62970339,0.187254675,0.104820854
3.33,2.929650686,1.981651201,0.096924041,44.75237092,0.054647998,3.963302402,0.193848083,0.109295996
3.67,2.493270952,2.153505237,0.100320645,44.66145238,0.056953374,4.307010474,0.200641291,0.113906749
4,2.069725915,2.883289312,0.10485395,44.5732079,0.060171247,5.766578624,0.209707901,0.120342494
4.33,2.120617935,3.613073387,0.109387255,44.48496343,0.06338912,7.226146775,0.21877451,0.12677824
4.67,2.173052138,4.364972131,0.114057933,44.39404488,0.066704504,8.729944263,0.228115866,0.133409008
5,2.223944158,5.094756206,0.118591238,44.30580041,0.069922377,10.18951241,0.237182476,0.139844753
5.33,2.037913676,6.423366086,0.119748,46.04761483,0.071822911,12.84673217,0.239496,0.143645823
5.67,1.846245906,7.792236871,0.120939815,47.84221149,0.073781038,15.58447374,0.24187963,0.147562076
6,1.660215424,9.12084675,0.122096577,49.58402591,0.075681572,18.2416935,0.244193154,0.151363145
6.33,1.606184767,10.44945663,0.123253339,51.32584032,0.077582107,20.89891326,0.246506678,0.155164214
6.67,1.550516816,11.56536234,0.120139457,53.12043699,0.082541479,23.13072467,0.240278915,0.165082959
7,1.496486159,12.64844728,0.117117161,54.8622514,0.087354988,25.29689457,0.234234321,0.174709976
7.33,1.474864989,13.73153223,0.114094864,56.60406581,0.092168497,27.46306447,0.228189727,0.184336993
7.67,1.452588633,14.84743794,0.110980982,58.39866248,0.097127869,29.69487588,0.221961964,0.194255738
8,1.430967463,15.93052289,0.107958685,60.14047689,0.101941378,31.86104578,0.21591737,0.203882756
8.33,1.414820658,17.14478622,0.100143441,61.88229131,0.105070791,34.28957244,0.200286882,0.210141581
8.67,1.398184557,18.39584541,0.092091372,63.67688797,0.108295034,36.79169081,0.184182744,0.216590069
9,1.382037752,19.61010874,0.084276128,65.41870239,0.111424447,39.22021747,0.168552256,0.222848894
10,1.382037752,19.61010874,0.084276128,65.41870239,0.111424447,39.22021747,0.168552256,0.222848894